Aggression	Text
Блять какой же годный тред. А ведь он только начался. Оп - добра тебе.	1
>>>84858947 Сука, охуенное видео же.	1
Пиздец. Надо было назвать тред засмеялся - проиграл, потому что я над каждым видео проигрываю просто а не испытываю стыд.	1
>>>84861398 Это пиздец.	1
>>>84859308 самое гавно	1
>>>84863054 Ничто так не портит музыку так, как ее фанаты. Блджад, а когда-то мне серъезно нравились кококоры, до появления этого злоебучего мэйнстрим-пехека и транскора.	1
>>>84861483 двачую парашу	1
>>>85610456 Очнулся, блять. Добро пожаловать в 2015.	1
Нихуя не понял, оп, хули ты хотел спросить то?	1
>>>85611707 Смотри. Хуйня под телефон у тебя есть, про ОКУЛУС порнушку ты наверняка слышал, ее уже масса. Вопрос в том как посмотреть ее без ОКУЛУСА, но вот с такой вод подставкой при помощи мобильника.	1
>>>85611707 Что ты делаешь с этой хуйней? Ощущения 3д есть? Где брал?	1
>>>85611764 Педики, ответьте мне, что это за штука такая?	1
>>>85612237 Это же картонка с линзами. >>>85612237 Блять, ну не уследил.	1
У этой хуйни линзы есть или ее можно самому в дом.условиях запилить?	1
>>>83915820 Смахивает на офисную или тюремную кухню. Чому так неуютно? Сплошной белый цвет, никакого декора. Микроволновка на холодильнике удобно разве? Люстру эту выкинь нахуй - не вписывается в интерьер совершенно.	1
>>>83916126 охуительная кухня! выеби меня и позволь в ней жить, господин	1
"Из би никого не пидорнуть как не старайся, потому что свободное общение и так и должно быть. Я бы запилил еще доску типа ""b уровня b"" с анальнейшим злым модератором. Доска будет бредом, т.е. без тематики, но с запретом создания большого списка раковых тредов. Прям в шапке треда накатать список большими красными вырвиглазными буквами. За создание какой-нибудь рулетки, еот, нытья, веб м и прочего говна сразу прилетает бан на неделю на доске. Доска должна постоянно пиарится в /b/ чтобы было не тухло, мне кажется много анонов перекатится. Но это мои влажные мечты."	1
>>>85582954 Ну, давай. Жду. Хотя, судя по фото на оп пике долбоёба с витчаута, считающего, что террористы и чёрная одежда как-то связаны с витчхаусом - ничего хорошего ты не можешь сделать. 	1
>>>85583256 Вечхаус больше доебал, а электроклэша годного сейчас мало.	1
>>>83915820 Смахивает на офисную или тюремную кухню. Чому так неуютно? Сплошной белый цвет, никакого декора. Микроволновка на холодильнике удобно разве? Люстру эту выкинь нахуй - не вписывается в интерьер совершенно.	1
>>>83916126 охуительная кухня! выеби меня и позволь в ней жить, господин	1
"Из би никого не пидорнуть как не старайся, потому что свободное общение и так и должно быть. Я бы запилил еще доску типа ""b уровня b"" с анальнейшим злым модератором. Доска будет бредом, т.е. без тематики, но с запретом создания большого списка раковых тредов. Прям в шапке треда накатать список большими красными вырвиглазными буквами. За создание какой-нибудь рулетки, еот, нытья, веб м и прочего говна сразу прилетает бан на неделю на доске. Доска должна постоянно пиарится в /b/ чтобы было не тухло, мне кажется много анонов перекатится. Но это мои влажные мечты."	1
классно, теперь сможешь Полину выебать	1
>>>85583256 Вечхаус больше доебал, а электроклэша годного сейчас мало.	1
>>>85584497 И если таки не пропиздишься и выложишь альбом - обязательно послушаю.	1
Ну ка поясни мне, че за бичхауз и чому я должен слушать его, а не бодрый handsup, и отплясывать с грудастыми девчонками в бункере под дэнскор. Я весь внимание.	1
>>>85587994 КАК ЖЕ Я ОБОСРАЛСЯ С МОДНЯФФКИ))))) ТАКАЯ ТИП))))))))) ЧЁРНАЯ))))))) ТИПО ПРОПЕРДЕЛА КОЛГОТКИ ТАКАЯ))))))))))))))УМНАЯ)	1
>>>85588781 Но я не говнодел, я сделал пару приличных треков, теперь пустился в декаданство.	1
>>>85589126 ЧТО ЗНАЧИТ ХУЕВЫЙ ТЫ МНЕ ОБЪЯСНИШЬ ?  ?  ?	1
>>>85589173 блят что ты хочешь от музла , который слушают 9+ дети у меня в подъезде?	1
>>>85591751 блядь, а как у бекхема?	1
>>>85591863 060СРАЛС9	1
>>>85595204 Лютый кал, честно. Нет души, рандомный набор звуков, фл первый раз открыл?	1
>>>85597255 Я короче на ноуте буду врубать треканы, а вы орать - это наш лайв-проект будет. Ток не жируха, плиз.	1
>>>85598792 быдло не осилило значки, как мило.  >>>85598792 ну хоть чем-то я тебе помог, и то ладно.	1
>>>85601779 ой бля сори братан , я подумал ты о другом хардкоре.	1
>>>85602045 Ну без мелодии, я имел в виду. Мне-то норм такое, а вот ему без мелодии видимо никак, для него это просто долбень.	1
>>>85603322 Я усмотрел в этом претензию. >>>85603322 но звучат они пиздец попсово	1
>>>85603966 Нихуя, исполнитель просто пишет музыку, а стиль уже придумывают люди.	1
>>>85604564 Хочу, чтобы моё лицо оказалось у неё между ног и она душила меня своей писечкой. А потом бы отдрочила.	1
>>>85605048 тебе надо на хуй проследовать.	1
>>>85604931 Чего сразу выёбываться начал? Я не говорил, что эксперт по стилям, но мой вывод можно сделать и без знания всей истории музыкальной культуры	1
классно, теперь сможешь Полину выебать	1
>>>85583256 Вечхаус больше доебал, а электроклэша годного сейчас мало.	1
>>>85584497 И если таки не пропиздишься и выложишь альбом - обязательно послушаю.	1
>>>85588781 Но я не говнодел, я сделал пару приличных треков, теперь пустился в декаданство.	1
>>>85589126 ЧТО ЗНАЧИТ ХУЕВЫЙ ТЫ МНЕ ОБЪЯСНИШЬ ?  ?  ?	1
>>>85589032 мм)) ммм)) декаданство)))) подштанники как полина порезал?)))) чтобы проветривалось??))	1
>>>85589173 блят что ты хочешь от музла , который слушают 9+ дети у меня в подъезде?	1
>>>85590325 вот блят иди нахуй) в 2019 году буит куча тредов где уже не школьники будут ныть по этим временам) когда показав щепотку тровы ты можешь поебать няшную вичуганку с запотевшим ливчиком и аутированным ебалом)))	1
>>>85591751 блядь, а как у бекхема?	1
>>>85598792 быдло не осилило значки, как мило.  >>>85598792 ну хоть чем-то я тебе помог, и то ладно.	1
>>>85587003 Кстати есть такая группа, поищи впараше.	1
>>>85600320 ЯННП	1
>>>85601630 Angerfist, Neophyte Третьего, известного всем, не дано. Можно, конечно влепить ебучего скутера, но он очень много пиздил и очень мало делал сам.	1
>>>85601779 ой бля сори братан , я подумал ты о другом хардкоре.	1
Пиздец, столько ответвлений от каждого говна.	1
>>>85603966 Нихуя, исполнитель просто пишет музыку, а стиль уже придумывают люди.	1
>>>85604564 Хочу, чтобы моё лицо оказалось у неё между ног и она душила меня своей писечкой. А потом бы отдрочила.	1
>>>85605048 тебе надо на хуй проследовать.	1
>>>85604931 Чего сразу выёбываться начал? Я не говорил, что эксперт по стилям, но мой вывод можно сделать и без знания всей истории музыкальной культуры	1
>>>85607246 Ну я одному дам послушать, если скажет что говно то брошу. Попытка не пытка же	1
Ну и нахуй она такая нужна?	1
Ну почему тебе так трудно плжалеть мать и не выебываться? Кому ты что хочешь доказать? Хочешь быть не таким как все? Ладно, хер с тобой, живи как знаешь, но на людях выглядит как нормальный человек, постригись хотя бы. Купи себе парик, если уж так невмоготу. Но вообще нужно сходить к врачу. В твоём возрасте уже семью иметь надо и детей.	1
>>>84867020 У тебя бывает ощущение, будто всё, что ты делаешь,- полная хуйня?	1
Зашел в тред и вспомнил себя 18летнего. Ну что я вам могу сказать не отчаиватесь, ищите себя в этой жизни. Сейчас мне 35 и я развлекаюсь тем что хожу по подъездам и мажу ручки дверей говном. Это доставляет небывлое удовольствие. Всё скучность бытия как рукой снимает при мысли что какая-нибудь тянка отмывает твое говно, которым ты сегодня посрал. ОП дерзай. Можешь прямо сейчас пойти прогуляться по своему дому. Я как один раз попробывал оторваться не могу.	1
Тред не читал. Перестань дрочить. Да, я знаю, это очень сложно, но без дрочки у тебя появится куча свободного времени, а главное - энергии, чтобы его занять. Сам практикую, брат жив и радуется.	1
ОП, разрабатывай анус. Купи себе хороший дилдак и представляй что ты девочка 15 лет. От мамки дилдак можешь в системнике прятать. Еще весело ходить в магазин с дилдаком в анусе. Стоишь ты такой в очереди и с виду ты такой же как и все, но только ты знаешь свою тайну. Потом когда приходишь домой можно облизывать фалоимитатор от кусочков прилипших выделений, пока он находился в анусе. А мудаком типа 	1
>>>84868638 Ну, тут аноны себе переодически нофапы устраивают. Можно, аналогично, устраивать день без пеки. Мне помогает. Еще начать задрачивать что-нибудь, что раньше хотел, но руки не доходили: тут главное себя заставить на начальном этапе.	1
>>>84868874 А это годная идея. Сделать себе порез на руке чтобы больно было дрочить. Можешь подробнее рассказать?	1
>>>84869037 Можешь тренировать делать deepthroat. Этот навык никому не помешает, а может быть когда-нибудь и пригодится. Купи себе хороший фалос и вперед.	1
>>>84869339 У него пиздатые проекты есть кроме наци шлака, а что предлагают остальные? Сосать вобщемто колы продолжать и не иметь надежды на ломовейшее моднейшее будущее, например. Он дарит надежду. Очень интересно его слушать, а проекты такие как дирижабли маршрутки с реактивными двигателями и зоопарк механических животных достойны нобелевской премии.	1
>>>84870470 быть мудилой которому что ни дай всё не то и хуёво	1
А нет, не проебан. Вот он: 	1
>>>84117128 где ты ее ебал?	1
>>>84118379 Эт уже де-то 40 тредик. Первый был летом. Ток я хз, где ананасики из тех тредов. Хули карт в треде нет, блиать?!	1
>>>84118482 бамп всех заебавшими картами, новых хороших нет	1
Я отрицаю саму идею того, что пространство сновидений можно систематизировать в чистом виде, как то ваша картография. Согласно этой теории ваша карта складывается просто потому, что вы хотите, чтобы она так себя вела, то бишь ваш мозг подсознательно выстраивает её так, чтобы вписывать в карту. Но если бы вы не картографировали намеренно, хуй бы у вас что сложилось.	1
>>>84120465 А вот это здравое рассуждение. Ничего плохого в таком чите, по сути своей, нет, хотя это и впрямь создание своеобразного манямирка и оперирование им, это действительно удобно, когда ты знаешь, что здесь болото, тут дом мамки опа, а вот там, за сраной рекой, меня сожрали два динозавра с головами людей. И всё это складывается в чёткую картину, гораздо более чёткую, чем когда ты просто записываешь сны в блокнотик. Так что картография имеет место быть, но лично я пока что воздерживаюсь от её построения, поскольку должен разобраться с этим дерьмом самостоятельно, без лишних хитрожопых методов и чужих мнений. Никакой юнгианщины, аним, хуяним, картографии и прочего. Только собственный опыт.	1
>>>84124845 Совет говно. Если в ОС нихуя не делать и пялится в землю, то сначала там кроме этой самой земли нихуя не останется, а потом пропадёт и она по известной всем схеме. И всё это будет очень быстро.	1
>>>84125905 Дохуя процессорного времени хавают, а толку от них - ноль. Сорт оф онанизм, короч.	1
>>>84126529 Хули ты истеришь сразу? Что помнишь - по и зарисовываешь. Отдельно. Впоследствии, когда наберётся снов, будут проявляться совпадающие части.	1
>>>84127000 Ну дык не ставил перед собой цели обратить внимание на обстановку в сновидении вот и не запомнил. Начинаешь рисовать - начинаешь обращать внимание. Там, в сновидениях, дохуя деталей которые проходят мимо твоего внимание, но вместе с тем имеют смысл.	1
>>>84130006 Да мне поебать вообще, занимайтесь бессмысленной ерундой, если хотите, а я хочу тред ваш посажировать просто.	1
>>>84130670 АААА БЛЯТЬ ПРЕКРАТИТЕ ПОЖАЛУЙСТА	1
>>>84131501 Это не школьник, это грамматон-клерик нахуй, он не спит вообще. И сны не видит.	1
куда все спать посъебывали?	1
>>>84152269 бляяяя нофапон чуть не проебал,шишка джинсы порвала	1
И сразу бамп хуйтой	1
Теперь это обсуждения мужских хуйцов тред.	1
>>>84858550 Охуеть, а моя мать получает 5 тысяч гривен, с ебанутой нагрузкой. Че вы еще жалуетесь на что-то москали.	1
>>>84858814 Ответственность. Даже если они оба друг-дружку изуродуют, я за это не отвечаю. За все отвечает - их учитель. Поэтому мне не нужно беспокоится за их здоровье и сохранность. Потом, если я влезу иииии чисто случайно ей синяк поставлю от хвата. Или упаси боже еще и ударю или как то задену - ВСЕ БУДЕТ ПРОТИВ МЕНЯ. С учетом кучи факторов, ее родители возьмут детей в свидетели, что это якобы была игра, а я напал на нее и все. Дальше начнется пиздец в моей жизни. Я о таких историях наслышан не из третьих уст. Поэтому в школе и хуево работать. По сути, тебя могут посылать нахуй, даже обоссать твои вещи, пока ты вышел в сортир. А ты не можешь даже пощечину дать.  >>>84858814 Сказал, что сейчас пойду и накатаю на них всех с перечислением каждого по фамилии. Они этого очень боялись, так как там была директриса хуже Гитлера. А потом, я знал их училку и оказывал ей большую услугу, тем, что сидел с ее пиздюками. Она бы ко мне тоже прислушалась. Но нельзя отрицать того, что будь их школа побыдлее, это бы не прокатило. Вот 8й класс приходилось почти силой успокаивать. Повышать голос, делать строгий вид, запугивать. Самое смешное, что попробовав так воздействовать на детей, понимаешь иллюзорную природу власти.	1
Если класса от 9 и старше - омежку затравят как нехуй очень быстро. А потом уже вся школа будет знать, что ты чмошник и считать тебя за говно.	1
1. Выучись на учителя химии. 2. Поучи лет 11 этот предмет сраным шкальникам 3. Через 12 лет бери самого хуёвого ученика из своего прошлого выпуска и начинай с ним варить мет. 4.??? 5. P R O F I T!!!!	1
>>>84860499 смотря что за ученик. Может и затравить, а может вы окажетесь с ним 1 на 1, пока батя вышел за сигами и он тебя задрочит, какой ты хуйло и отсос. Смотри сам, что за родители. Если они быдло, то лучше не связывайся. Даже если ребенок тебя всем устроит, родители могут ебать мозг	1
>>>84856844 Я в университете преподавал, когда в аспирантуре был. Мякоть была в том, что мне это преподавание нахуй было не нужно, я хотел заниматься наукой, но меня насильно заставляли, потому что на кафедре больше никто не хотел работать. Поэтому я вел себя как можно более мудацки, чтобы студенты нажаловались и меня сняли нахуй. На зачете я вообще спрашивал всякую нерилейтед хуйню, например, какую последнюю книгу студент прочел или что он думает о направлении развития индустрии видеоигр. Студенты при всем этом меня обожали.	1
анончики, а можно ли с дипломом ссаного бакалавра погроммиста стать магистром из педа и будет ли при этом полноценное педагогическое образование?	1
>>>84861360 Ты ж на милф дрочишь, так что норм.	1
>>>84861821 Хуй черемякаешь?	1
>>>84856844 Ну я работал, блядь. Выгнали за рукоприкладство и матершину.	1
>>>84863477 Чтобы репетиторством заниматься, нужно быть подлой мразью, когда нихуя не знаешь, а учишь, не смог. Либо иметь связи в вузике, куда детишки поступать будут.	1
Школа это атавизм. В наш век информационных технологий надо переходить к более совершенным способам обучения и воспитания детей. Но человечество аморфно и всем глубоко похуй. Более того, в России она еще и деградирует с ОПК итд.  Вот очевидные минусы школы: - Необходимость рассказывать одну и ту же лекцию двум-трем классам подряд выматывает и демотивирует учителя. - Учебники, как и программа невообразимо скучные и унылые, в старших классах ученики их даже не открывают, кроме как для выполнения прямых указаний. Есть масса научно-популярных программ. Из любого предмета можно сделать такую конфетку, что даже полный хулиган и двоечник захочет узнать побольше и побежит домой решать примеры. Особенно это касается естественных наук и математики.  - Мало внимания уделяется общему воспитанию и здоровым отношениям в коллективе. Учителя не обладают достаточной квалификацией, зачастую им просто похуй.	1
>>>84864370  Я другой кун, тоже ходил в школу к мамке. Сам не доносил, зато доносили на меня. И учителя и крыса-куны/тяны. А сам даже не жаловался, хотя особо никто и не трогал	1
>>>84864612 Однажды пошел пиздиться с одним пацаном за школу, так какой-то крысятник из старших классов всё мамке доложил. Она с вопросами приставала долго, зачем, почему, как	1
>>>84856844 Хоть я и инженер, а не учитель, но просто не могу понять, насколько нужно быть психом, чтобы идти учить это зверье? Подростки - хуже и опаснее зэков, это факт. у них нет моральных ограничителей.	1
>>>84865323 Лол, ну фиг знает. Когда практику проходил, не было такого ощущения. Вел в 8-9х классах. Больше тебе скажу, я и рассчитывал, что там будет пиздец - но нифига подобного. Я правда в школе хорошей был.	1
>>>84859950 Через какой промежуток времени оценки начали расти? Что вообще говорить родителям, если дитё относится похуистически к занятиям и через неделю уже забывает почти всё?	1
>>>84866023 Сфоткай влагалище пожалуйста.	1
>>>84867030 Колледж==шарага, куда выгоняют совсем говно после 9 класса.	1
>>>84867654 Лучше пиши большими буквами, но неграмотно как я. Аноны кроме тся/ться и больших букв правил не знают и доебывать не будут.	1
">>>84868071 - Перевела через конвертер на ваши. Получилось около 15 тыс. А на наши с вычетом налогов и прочей херни получается 3 с половиной миллиона. Подъёмные были. Живётся мне плохо. Во 1-ых характер не учительский совсем. Предчувствую вопросы ""нахер тогда шла туда"". А будто все идут с твёрдым намерением работать потом по специальности. Я хотела работать в редакции.  Во 2-ых скукотища тут. Я вроде и домашний задрот, но люблю повеселиться в компании. Изредка езжу в соседнюю деревню к новым знакомым. Если что подробнее нужно, то спрашивайте."	1
>>>84868499 Друг в той же мухосрани получает 2к гривен и левака около 2к. Итого 4к грн при моих 1300.  Я общаюсь с ебанутыми детьми - он со взрослыми людьми. Я каждый вечер готовлюсь к уроку - он просто ходит на работу. Нахуя было учится 5 лет??	1
Хочу няшу-учительницу. Можно с ней одновременно трахаться и учиться.	1
>>>84868823 Это ничего не даст, отмороженные клоуны продолжат цирк, а потом припрут мамашу в школу, которая убедит не ставить параши.	1
>>>84868823 Я вначале лепил 1 и 2 за отказ отвечать  и тому подобную фигню. Потом мне посоветовали так не делать, ведь если у ученика стоит 1 или 2 - значит он не знает предмет, значит ты ничему не научил, значит плохо исполняешь свою работу. Ебать в конце будут только тебя.	1
>>>84856844 работаю в спец-школе (языкового профиля) в ДС учителем истории и обществознания. Получаю 38к (красный диплом + практика со второго курса)+подрабатываю шлюхой-репетитором. И того почти 50к Из частных вузов в школе учителей не видел никогда. Да и как им туда попасть? Почти все работают в тех школах, куда из быдловуза направит государство.	1
>>>84871156 Пока детишки писали, начал тереть за жизнь с местным учителем информатики, чёго то в интернете проверить понадобилось, пошли к нему в кабинет, а у него заклатки с артами раноглазой. На мой вопрос, это чё? он ответил, куклы. Больше я его не спрашивал. Хуй, знает может дети оставили, но он в теме. около 35 лет ему было.	1
>>>84874314 То есть на самом деле ты такой хуйней не маешься?	1
>>>84872317  Забухай и потрахайся с учениками же.  И да, сиськи с супом в студию.	1
>>>84875913 школьницу ебал уже?	1
>>>85608103 Первый раз вижу занавески на шкафах, охуеть просто.	1
>>>85608465 Ну нет и нет, нахуй вешать. Всё равно не понимаю. Пиздец.	1
>>>85609255 Всё, уже сам нашёл. Какая прикольная хуйня, надо будет сделать.	1
>>>85608395 Ты, блджад, их коллекционируешь?	1
>>>85610133 Нам хозяин гаража заломил ебическую цену, естественно, мы отказались. Спрятали шины под кроватью. Я боялся, что вонять будет резиной, а нет, нормально.	1
>>>85610268 Чот когда вижу такие кровати, то сразу представляю, как они качаются и скрипят и при ебле и что можно тян пристегнуть наручниками :3	1
>>>85610379 Охуенный фильм. Жалко что я уже смотрел зеленого слоника и другую чернуху пожестче, а так бы вставило на ура вообще.	1
>>>85607193 Нахуя? Моя кровь - святая. Столько отсрадал, щас уж погуляет. Революция начнется, так свое возьмет уж, как он говорит.  ОП	1
Батька Опа на киче Манькой кличили. Та еще соска была - годная. Но старая. Ее 5 лет как на парашу определили, очко чистить.	1
>>>85608862 Бля, какие же все таки красивые албане церкви запилили.	1
Смотри ОП. Если твой батя попался, то значит он хуёвый бандит. А ведь мог бы уже быть депутатом государственной думы.	1
>>>85606199 Ты ему, главное, двач не показывай. А то он тебя петухом сделает.	1
>>>85612236 Да ему похуй вообще на двач.  ОП	1
>>>85606199 бля, кого ты пытаешься напугать 55 летним дедушкой?	1
>>>85613499 Армянка, еб твою мать! Сколько можно уже! >>>85613499 Батьке 46.	1
Ебааааааатьь! И ведь кто-то у нас ещё постоянно пишет о том, как его зажимают на нынешних двачах, охуеть просто.	1
>>>7763373 Пиздец конечно. А такая ламповая была борда. 	1
>>>7763347 Там, по моему, надрачивали на гоблина. Или мне показалось?	1
>>>7763954 Охуенно ты копротивляешься за Русский Мир.	1
">>>7764063 ""Рассеюшке"" я написал не просто так. Они ж как мечают - чтобы зарплаты им подняли, в состав федерации приняли... а что по факту получат они не задумываются. Вон, крымские до сих пор охуевают, все никак понять не могут."	1
Ебать они там ЗАЧИСТКУ устроили. Уничтожили все комменты за два часа. Ещё и вот такой бан.	1
>>>7765397 Так и на войне так же. Стреляют из жилых домов, а потом жалуются на ответочку от хохлов. Пиздец, блядь.	1
>>>7771067 А давайте на минуточку представим, что ополченцы просто исчезли. Вот все и сразу. Что правительство Украины будет делать с раздолбаным в ебеня Донбассом?	1
>>>7531434 Знаете как можно узнать школьника в интернете? Он всегда считает что ебанные анимешные картинки одинакого-выглядящих девочек что-то значат и по ним можно что-то там определить.	1
>>>7770990 еб твою медь, а если это дети увидят? где сперма?	1
>>>7767330 Даже айфоны все китайские, двачую.Блять ёбаные американцы ничего не производят живут с налогов на доллар!!!!!	1
А теперь хочу задать вам, /poрашникам вопрос, какого это - обсуждать говно?	1
